author,title,recommend
Colleen Hoover,Verity,Yes
James Dashner,The Maze Runner,Yes
James Dashner,The Scorch Trials,Yes
James Dashner,The Death Cure,Yes
James Dashner,The Kill Order,Yes
James Dashner,The Fever Code,Yes
James Dashner,The Maze Cutter,Yes
James Dashner,The Godhead Complex,No
James Dashner,The Infinite Glade,No
Lois Lowry,The Giver,Yes
Lois Lowry,Gathering Blue,Yes
Lois Lowry,Messenger,Yes
Lois Lowry,Son,Yes
Ray Bradbury,Fahrenheit 451,Yes
Bruce Springsteen,Born to Run,Yes
Ed Bolian,For the Record,Yes
Veronica Roth,Carve the Mark,Yes
Veronica Roth,The Fates Divide,Yes
André Aciman,Call Me by Your Name,Yes
André Aciman,Find Me,No
Isaac Asimov,"I, Robot",Yes
Brian K. Vaughan,Pride of Baghdad,Yes
Meghan Hutchins,Drift,Yes
Ally Condie,Matched,Yes
Angie Thomas,The Hate U Give,Yes
